StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,P1,P2,P3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q1,Q2,Q3,Q4,Q5,Do you or your family farm or do work related to agriculture?,Do you consider where you live to be more rural or urban?,"How many times in the last year have you visited the nearby river? (Boat, swim, bike, fish, walk the trails, etc.)"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID53""}"
1/23/2019 13:47,1/23/2019 13:49,IP Address,,100,32,TRUE,1/23/2019 13:49,R_sdJ4zsWS2U9RET7,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,No Change,Scenario A,Scenario A,No Change,No,Urban ,0
1/23/2019 14:14,1/23/2019 14:18,IP Address,,100,45,TRUE,1/23/2019 14:18,R_1IayMbGikP5W1cT,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,No Change,No Change,No Change,No Change,No Change,No,Urban ,0
1/23/2019 14:22,1/23/2019 14:26,IP Address,,100,45,TRUE,1/23/2019 14:26,R_DC445XfI10udrdn,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario B,Scenario A,Scenario A,No Change,Yes,Rural ,0
1/23/2019 14:25,1/23/2019 14:26,IP Address,,100,55,TRUE,1/23/2019 14:26,R_bmf5RQeUuRg8t5n,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario B,No Change,No,Rural ,0
1/23/2019 14:30,1/23/2019 14:32,IP Address,,100,66,TRUE,1/23/2019 14:32,R_0wxT4OV6N6gVy8N,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario B,Scenario B,Yes,Urban ,4
1/23/2019 11:57,1/23/2019 14:35,IP Address,,100,74,TRUE,1/23/2019 14:35,R_291gAvFKOGxMEEQ,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario A,Scenario A,Scenario A,Scenario B,No Change,No,Rural ,0
1/23/2019 14:32,1/23/2019 14:36,IP Address,,100,75,TRUE,1/23/2019 14:36,R_2Ck0NInztFaUtRe,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,No Change,Scenario B,Scenario A,No Change,No,Urban ,3
1/23/2019 14:34,1/23/2019 14:37,IP Address,,100,100,TRUE,1/23/2019 14:37,R_30x8kiF4gWJFe3y,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,No Change,No Change,Scenario A,No Change,Yes,Urban ,0
1/23/2019 14:49,1/23/2019 14:50,IP Address,,100,125,TRUE,1/23/2019 14:50,R_24MEv7zcynk5szc,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario B,Scenario A,No,Urban ,0
1/23/2019 11:44,1/23/2019 11:45,IP Address,,70,150,FALSE,1/23/2019 15:45,R_Uo7odTXNFu9yAud,,,,"$10,000 ",40.10949707,-87.80819702,anonymous,EN,No Change,No Change,No Change,No Change,No Change,No,Urban ,0
1/23/2019 11:45,1/23/2019 11:45,IP Address,,70,175,FALSE,1/23/2019 15:45,R_djzoL1RKCl2S1oZ,,,,"$12,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario A,Scenario A,Scenario A,Scenario A,Scenario B,Yes,Urban ,more than 5
1/23/2019 11:46,1/23/2019 11:47,IP Address,,70,200,FALSE,1/23/2019 15:47,R_2zcNcsknf9JkBeZ,,,,"$13,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario B,Scenario B,No,Rural ,4
1/23/2019 11:47,1/23/2019 11:48,IP Address,,70,225,FALSE,1/23/2019 15:48,R_3HzFJ2ZXTApbreV,,,,"$14,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario A,Scenario B,No Change,No Change,No Change,No,Urban ,0
1/23/2019 11:50,1/23/2019 11:52,IP Address,,70,250,FALSE,1/23/2019 15:52,R_1DwNkS0vGyRWjoN,,,,"$14,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,No Change,Scenario A,Scenario A,Scenario A,Yes,Urban ,3
1/23/2019 11:56,1/23/2019 11:57,IP Address,,70,275,FALSE,1/23/2019 15:57,R_3p3TUxOcG7KOUzq,,,,"$18,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario A,No Change,No,Rural ,0
1/23/2019 11:58,1/23/2019 12:00,IP Address,,70,300,FALSE,1/23/2019 16:00,R_wZQS3GBhqDuuFfb,,,,"$20,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,No Change,Scenario A,Scenario A,No Change,Yes,Rural ,0
1/23/2019 16:08,1/23/2019 16:10,IP Address,,100,325,TRUE,1/23/2019 16:10,R_2PaFSCIETdvbfhN,,,,"$21,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario B,Scenario A,Scenario A,No Change,No,Urban ,more than 5
1/23/2019 16:09,1/23/2019 16:11,IP Address,,100,350,TRUE,1/23/2019 16:11,R_3hyjxTJPe4qyTY9,,,,"$22,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario A,Scenario A,Scenario A,Scenario B,No Change,Yes,Rural ,0
1/23/2019 16:20,1/23/2019 16:27,IP Address,,100,375,TRUE,1/23/2019 16:27,R_2ZVzxdSMDxsE93R,,,,"$23,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,No Change,Scenario B,Scenario A,No Change,Yes,Urban ,0
1/23/2019 13:15,1/23/2019 13:17,IP Address,,10,400,FALSE,1/23/2019 17:17,R_1CBchRxYfvKl7km,,,,"$23,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario A,Scenario A,Yes,Urban ,0
1/23/2019 13:21,1/23/2019 13:48,IP Address,,70,425,FALSE,1/23/2019 17:48,R_2Bn9BvjJSYw7x5w,,,,"$25,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario B,Scenario A,No Change,No Change,Yes,Urban ,more than 5
1/23/2019 18:08,1/23/2019 18:10,IP Address,,100,33,TRUE,1/23/2019 18:10,R_3HOK6JLZyAAQkRr,,,,"$28,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,No Change,No Change,No,Urban ,0
1/23/2019 14:13,1/23/2019 14:14,IP Address,,20,475,FALSE,1/23/2019 18:14,R_pJDCGpl8FVopEop,,,,"$29,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario A,Scenario A,No,Urban ,
1/23/2019 14:23,1/23/2019 14:25,IP Address,,10,500,FALSE,1/23/2019 18:25,R_2rZaedXo6KpZWQh,,,,"$30,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario A,No Change,No,Urban ,0
1/23/2019 19:02,1/23/2019 19:05,IP Address,,100,525,TRUE,1/23/2019 19:05,R_1M4dQmFDhfVYyhK,,,,"$32,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,No Change,No Change,Scenario A,No Change,Yes,Urban ,0
1/23/2019 19:38,1/23/2019 19:40,IP Address,,100,45,TRUE,1/23/2019 19:40,R_1hX1mzCNqqhYKqC,,,,"$34,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario A,Scenario A,Scenario B,Scenario B,No Change,Yes,Rural ,0
1/23/2019 20:20,1/23/2019 20:23,IP Address,,100,575,TRUE,1/23/2019 20:23,R_6LqF3CY4oKCwgPD,,,,"$35,000 ",40.10949707,-87.80819702,anonymous,EN,No Change,No Change,No Change,No Change,No Change,No,Rural ,0
1/23/2019 21:28,1/23/2019 21:31,IP Address,,100,600,TRUE,1/23/2019 21:31,R_1opaNV6ZjVLAeDJ,,,,"$37,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario A,Scenario A,No,Urban ,0
1/23/2019 22:05,1/23/2019 22:06,IP Address,,100,23,TRUE,1/23/2019 22:06,R_xxhh483nZRbmf4d,,,,"$37,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario B,No Change,No,Rural ,1
1/23/2019 22:35,1/23/2019 22:39,IP Address,,100,650,TRUE,1/23/2019 22:39,R_20U4SaZfDb0UQax,,,,"$38,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario A,Scenario A,Yes,Urban ,0
1/23/2019 20:19,1/23/2019 20:20,IP Address,,10,675,FALSE,1/24/2019 0:20,R_Ugu32NdOQ1pWfXX,,,,"$42,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario A,No Change,No,Urban ,2
1/24/2019 7:14,1/24/2019 7:17,IP Address,,100,700,TRUE,1/24/2019 7:17,R_3I8NPU9LM2xG0yB,,,,"$42,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario B,Scenario A,Scenario A,No Change,No,Urban ,2
1/24/2019 7:58,1/24/2019 8:00,IP Address,,100,88,TRUE,1/24/2019 8:00,R_1NbmSsJFbvlobzo,,,,"$43,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,No Change,Scenario A,Scenario A,Scenario A,Yes,Urban ,1
1/24/2019 9:34,1/24/2019 9:35,IP Address,,100,750,TRUE,1/24/2019 9:35,R_3G6V4a30ROETZ82,,,,"$44,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario B,Scenario B,Yes,Urban ,more than 5
1/24/2019 12:03,1/24/2019 12:05,IP Address,,100,775,TRUE,1/24/2019 12:05,R_1ltb0khnqIMkNup,,,,"$47,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario A,Scenario B,Scenario A,No Change,No Change,Yes,Rural ,0
1/24/2019 13:52,1/24/2019 13:55,IP Address,,100,800,TRUE,1/24/2019 13:55,R_1pJzinB7wEIXBms,,,,"$52,000 ",40.10949707,-87.80819702,anonymous,EN,No Change,Scenario A,No Change,No Change,No Change,Yes,Urban ,0
1/24/2019 14:13,1/24/2019 14:15,IP Address,,100,90,TRUE,1/24/2019 14:15,R_3dLWE3qrUs508Si,,,,"$54,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario A,No Change,No,Urban ,3
1/24/2019 15:46,1/24/2019 15:49,IP Address,,100,850,TRUE,1/24/2019 15:49,R_2YlzlB4NmAuJqPK,,,,"$56,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario B,Scenario B,No,Rural ,more than 5
1/24/2019 17:16,1/24/2019 17:18,IP Address,,100,875,TRUE,1/24/2019 17:18,R_2PBw2NGyR1F9Mqh,,,,"$56,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario A,Scenario A,No,Rural ,0
1/24/2019 17:58,1/24/2019 18:02,IP Address,,100,43,TRUE,1/24/2019 18:02,R_2SDArB05mfX458b,,,,"$58,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario A,Scenario B,Scenario A,Scenario A,No Change,No,Urban ,0
1/24/2019 18:05,1/24/2019 18:06,IP Address,,100,925,TRUE,1/24/2019 18:06,R_XCgIoQ0OV6myVnr,,,,"$59,000 ",40.10949707,-87.80819702,anonymous,EN,No Change,No Change,No Change,No Change,No Change,Yes,Rural ,0
1/24/2019 18:41,1/24/2019 18:44,IP Address,,100,950,TRUE,1/24/2019 18:44,R_3EnB0tVEEmkBrua,,,,"$64,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario A,Scenario A,Scenario A,Scenario B,Scenario B,No,Urban ,0
1/24/2019 20:34,1/24/2019 20:36,IP Address,,100,975,TRUE,1/24/2019 20:37,R_PXkZYGmhJxKcvfz,,,,"$66,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario A,Scenario B,No Change,No,Urban ,0
1/24/2019 20:38,1/24/2019 20:39,IP Address,,100,1000,TRUE,1/24/2019 20:39,R_3L7KiJlhEXLTNfX,,,,"$66,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario A,Scenario B,Scenario B,Scenario B,Yes,Urban ,more than 5
1/24/2019 7:14,1/24/2019 7:17,IP Address,,100,1025,TRUE,1/24/2019 7:17,R_3I8NPU9LM2xG0yB,,,,"$67,000 ",40.10949707,-87.80819702,anonymous,EN,Scenario B,Scenario B,Scenario A,Scenario A,No Change,No,Urban ,2
